ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Description
"232","Task","1 - OnPrem to Azure Virtual Machine Overview",,"New","SQL Migration","Migrate","<div>OnPrem to Azure Virtual Machine Overview </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-best-practices/contoso-migration-rehost-vm?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">Rehost an application on Azure VMs by using Azure Migrate - Cloud Adoption Framework | Microsoft Docs</a><br> </div>"
"231","Task","2 - Assessment",,"New","SQL Migration","Migrate","<div>Assessment </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-migration-guide/assess?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-migration-guide/assess?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"230","Task","3 - Deployment and Migration Testing",,"New","SQL Migration","Migrate","<div>Deployment and Migration Testing </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-migration-guide/migrate?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-migration-guide/migrate?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"229","Task","4 - Release and Additional Resources",,"New","SQL Migration","Migrate","<div>Release and Additional Resources </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-migration-guide/optimize-and-transform?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-migration-guide/optimize-and-transform?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"228","Task","1 - OnPrem to Azure SQL Managed Instance",,"New","SQL Migration","Migrate","<div>OnPrem to Azure SQL Managed Instance </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-best-practices/contoso-migration-rehost-vm-sql-managed-instance?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-best-practices/contoso-migration-rehost-vm-sql-managed-instance?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"226","Task","3 - Deployment and Migration Testing",,"New","SQL Migration","Migrate","<div>Deployment and Migration Guide </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/azure-sql/migration-guides/managed-instance/sql-server-to-managed-instance-guide?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/azure-sql/migration-guides/managed-instance/sql-server-to-managed-instance-guide?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"225","Task","4 - Release and Additional Resources",,"New","SQL Migration","Migrate","<div>Release and Additional How To Resources: </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/azure-sql/managed-instance/how-to-content-reference-guide?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/azure-sql/managed-instance/how-to-content-reference-guide?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"223","Task","3 - Manage Access",,"New","SQL Migration","Govern","<div>Do the correct individuals have the right access to assets: </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-setup-guide/manage-access?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-setup-guide/manage-access?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div><div><br> </div><div><br> </div>"
"222","Task","4 - Manage Costs",,"New","SQL Migration","Govern","<div>Cost management is an effective way to understand usage as well as potential optimization paths. </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-setup-guide/manage-costs?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-setup-guide/manage-costs?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"221","Task","5 - Governance, Security and Compliance",,"New","SQL Migration","Govern","<div>Review how you govern data to ensure compliance and security: </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/architecture/data-guide/scenarios/securing-data-solutions?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/architecture/data-guide/scenarios/securing-data-solutions?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-best-practices/governance-or-compliance?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-best-practices/governance-or-compliance?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"220","Task","6 - Monitoring and Reporting",,"New","SQL Migration","Govern","<div>Cloud Monitoring guide: </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/manage/monitor/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/manage/monitor/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"219","Task","SQL Data Migration Project review meeting",,"New","SQL Migration",,"SQL Data Migration Project review meeting"
"218","Task","SQL Data Migration documents review",,"New","SQL Migration",,"SQL Data Migration documents review"
"217","Task","3 - Define Objectives and Key Results",,"New","SQL Migration","Plan","<div>A key part of driving alignment in the organization is to have a core set of objectives and key results which teams can snap to. </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/strategy/business-outcomes/okr?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/strategy/business-outcomes/okr?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"216","Task","5 - Azure Quickstart for SQL VMs",,"New","SQL Migration","Migrate","<div>Azure Quickstarts for SQL VMs </div><div><br> </div><div><a href=""https://azure.microsoft.com/en-us/resources/templates/?term=SQL+Virtual+machine"">Azure Quickstart Templates (microsoft.com)</a><br> </div><div><br> </div>"
"215","Task","4 - Azure Quickstart SQL Database",,"New","SQL Migration","Migrate","<div>Azure Quickstart code for Azure SQL Database </div><div><br> </div><div><a href=""https://azure.microsoft.com/en-us/resources/templates/?term=Azure+SQL+Database"">Azure Quickstart Templates (microsoft.com)</a><br> </div>"
"214","Task","5 - Azure Quickstart SQL Managed Instance",,"New","SQL Migration","Migrate","<div>Azure Quickstart for SQL Managed Instance </div><div><br> </div><div><a href=""https://azure.microsoft.com/en-us/resources/templates/?term=Azure+SQL+managed+instance"">Azure Quickstart Templates (microsoft.com)</a><br> </div>"
"213","Task","7 - Additional Resources for Governance",,"New","SQL Migration","Govern","<div>Governance assets and materials: </div><div><br> </div><div><a href=""https://github.com/microsoft/azuredevopsgenerator/tree/master/azuregovernance/docs"">azuredevopsgenerator/azuregovernance/docs at master · microsoft/azuredevopsgenerator (github.com)</a><br> </div><div><br> </div><div>Also review the Governance ADO project in the Generator. </div><div><br> </div><div><br> </div>"
"212","Task","6 - Review Database Compatibility",,"New","SQL Migration","Plan","<div>Read the compatibility certification article. </div><div><br> </div><div><a href=""http://aka.ms/dbcompat?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">http://aka.ms/dbcompat?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a> </div>"
"211","Task","8 - Tutorial: Migrate your relational data stored in SQL to Azure SQL DB",,"New","SQL Migration","Ready","<div><span style=""color:rgb(23, 23, 23);font-family:&quot;Segoe UI&quot;, SegoeUI, &quot;Helvetica Neue&quot;, Helvetica, Arial, sans-serif;font-size:16px;display:inline !important;"">Plan and implement the migration of relational data from SQL Server to Azure SQL Database</span><br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/learn/modules/migrate-sql-server-relational-data/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/learn/modules/migrate-sql-server-relational-data/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"210","Task","7 - Tutorial: Database migration to Azure",,"New","SQL Migration","Ready","<div>Microsoft Mechanics video, Database migration to Azure </div><div><br> </div><div><a href=""https://azure.microsoft.com/en-us/resources/videos/database-migration-to-azure/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://azure.microsoft.com/en-us/resources/videos/database-migration-to-azure/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"209","Task","3 - Release and Additional Resources",,"New","SQL Migration","Migrate","<div>Release and Additional Resources<br><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-best-practices/contoso-migration-sql-server-db-to-azure?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/migrate/azure-best-practices/contoso-migration-sql-server-db-to-azure?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a> </div><div><br> </div><div><br> </div>"
"208","Task","2 - Deployment and Migration Testing",,"New","SQL Migration","Migrate","<div>Deployment and Migration Testing - Data Migration Assistannt </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/sql/dma/dma-overview?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/sql/dma/dma-overview?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"206","Task","5 - Reference Architectures",,"New","SQL Migration","Plan","<div>Windows N-Tier application on Azure </div><div><a href=""https://docs.microsoft.com/en-us/azure/architecture/reference-architectures/n-tier/n-tier-sql-server?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/architecture/reference-architectures/n-tier/n-tier-sql-server?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div><div><br> </div><div>Loan Credit Risk with SQL Server </div><div><a href=""https://docs.microsoft.com/en-us/azure/architecture/solution-ideas/articles/loan-credit-risk-with-sql-server?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/architecture/solution-ideas/articles/loan-credit-risk-with-sql-server?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div><div><br> </div><div>Scalable Sitecore marketing website </div><div><a href=""https://docs.microsoft.com/en-us/azure/architecture/solution-ideas/articles/digital-marketing-sitecore?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/architecture/solution-ideas/articles/digital-marketing-sitecore?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"205","Task","1 - Assessment",,"New","SQL Migration","Migrate","<div>Assessment </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/sql/dma/dma-migrateonpremsqltosqldb?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/sql/dma/dma-migrateonpremsqltosqldb?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/sql/dma/dma-consolidatereports?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/sql/dma/dma-consolidatereports?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"204","Task","4 - Guide: Migrate SSIS, SSAS and SSRS to Azure",,"New","SQL Migration","Plan","<div>Migrate SSIS, SSAS and SSRS to Azure </div><div><br> </div><div>SSIS:&nbsp;<a href=""https://docs.microsoft.com/en-us/azure/data-factory/scenario-ssis-migration-overview?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/data-factory/scenario-ssis-migration-overview?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div><div><br> </div><div>SSRS:&nbsp;<a href=""https://docs.microsoft.com/en-us/sql/reporting-services/report-data/sql-azure-connection-type-ssrs?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/sql/reporting-services/report-data/sql-azure-connection-type-ssrs?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a>&nbsp; </div><div><br> </div>"
"203","Task","3 - Pros and Cons of Landing Zones and Migration Tools Decision Guide",,"New","SQL Migration","Plan","<div>Migration Tools Decision Guide </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/decision-guides/migrate-decision-guide/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/decision-guides/migrate-decision-guide/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"202","Task","2 - Create and/or Verify Landing Zone",,"New","SQL Migration","Plan","<div>Decide and Create Landing Zone, this is where the assets will reside and how they will be managed and governed. </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/implementation-options?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/landing-zone/implementation-options?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"201","Task","1 - Azure Setup Guide",,"New","SQL Migration","Plan","<div>Validate that you have covered all areas specified in the Azure Setup Guide </div><div><br> </div><div><a href=""https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-setup-guide/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal"">https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-setup-guide/?WT.mc_id=devops_userstory_service_sql-inproduct-devopsportal</a><br> </div>"
"200","Feature","SQL Migration Scenarios and paths",,"New","SQL Migration","Migrate","CAF SQL Migration"
"199","Feature","CAF SQL Migration - Governance and Manage",,"New","SQL Migration","Govern","CAF SQL Migration - Governance and Manage"
"198","Feature","Strategy, Plan, Readiness",,"New","SQL Migration","Plan","Strategy, Plan, Readiness"
"197","Epic","SQL Migration ",,"New","SQL Migration","Migrate","CAF SQL Migration Project Plan"
"196","Epic","Build the Plan",,"New","SQL Migration","Plan","<div>Validate your plan, ensure that adoption aligns with the CCOE or Strategy teams guidance. </div>"
