ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Description
"302","Task","Azure Setup and Configuration",,"New","Server Migration",,"Azure Setup and Configuration"
"301","Task","Azure Cloud Resources",,"New","Server Migration",,"Azure Cloud Resources"
"298","Task","Managing Access",,"New","Server Migration",,"Managing Access"
"297","Task","Azure tools and Approaches",,"New","Server Migration",,"Azure tools and Approaches"
"295","Task","Site-to-Site Connectivity Summary",,"New","Server Migration",,"Site-to-Site Connectivity Summary"
"294","Task","Cost and Billing of Azure resources",,"New","Server Migration",,"Cost and Billing of Azure resources"
"293","Task","Migration Pre-requirement configuration and validation",,"New","Server Migration",,"Migration Pre-requirement configuration and validation"
"292","Task","Migration Strategy",,"New","Server Migration",,"Migration Strategy"
"291","Task","Migration: Deployment",,"New","Server Migration",,"Migration: Deployment"
"290","Task","Migration: Infrastructure Integration",,"New","Server Migration",,"Migration: Infrastructure Integration"
"289","Task","Migration: Application Integration",,"New","Server Migration",,"Migration: Application Integration"
"288","Task","Prepare the Physical Server Assessment and requirement",,"New","Server Migration",,"Prepare the Physical Server Assessment and requirement"
"287","Task","Configure the Azure envirnment based on the assessment",,"New","Server Migration",,"Configure the Azure envirnment based on the assessment"
"286","Task","Migrate Physical Servers to Azure",,"New","Server Migration",,"Migrate Physical Servers to Azure"
"284","Task","Prepare the Hyper V Host and Virtual Server Assessment and requirement",,"New","Server Migration",,"Prepare the Hyper V Host and Virtual Server Assessment and requirement"
"283","Task","Configure the Azure envirnment based on the assessment",,"New","Server Migration",,"Configure the Azure envirnment based on the assessment"
"282","Task","Migrate  Hyper V Host and Virtual Servers to Azure",,"New","Server Migration",,"Migrate  Hyper V Host and Virtual Servers to Azure"
"281","Task","Test and Validate the  Hyper V Host and Virtual server migration to Azure",,"New","Server Migration",,"Test and Validate the  Hyper V Host and Virtual server migration to Azure"
"280","Task","Prepare the VMWare Virtual Server Assessment and requirement",,"New","Server Migration",,"Prepare the VMWare Virtual Server Assessment and requirement"
"279","Task","Configure the Azure envirnment based on the assessment",,"New","Server Migration",,"Configure the Azure envirnment based on the assessment"
"278","Task","Migrate VMWare Virtual Servers to Azure",,"New","Server Migration",,"Migrate VMWare Virtual Servers to Azure"
"276","Task","Migration: Documentation of implementation and Change request for performing the activity",,"New","Server Migration",,"Migration: Documentation of implementation and Change request for performing the activity"
"275","Task","Server migration Functional Validation",,"New","Server Migration",,"Server migration Functional Validation"
"273","Task","Release Management",,"New","Server Migration",,"Release Management"
"271","Task","Security Implemtation and reporting",,"New","Server Migration",,"Security Implemtation and reporting"
"270","Task","Compliance",,"New","Server Migration",,"Compliance"
"269","Task","Inventory and visibility",,"New","Server Migration",,"Inventory and visibility"
"268","Task","Operational compliance",,"New","Server Migration",,"Operational compliance"
"267","Task","Protect and recover",,"New","Server Migration",,"Protect and recover"
"266","Task","Cutover and Decommission",,"New","Server Migration",,"Cutover and Decommission"
"264","Task","Configure Report Building",,"New","Server Migration",,"Configure Report Building"
"263","Task","Automation of reporting and alerting configuration",,"New","Server Migration",,"Automation of reporting and alerting configuration"
"262","Task","Documentation of monitoring and reporting process",,"New","Server Migration",,"Documentation of monitoring and reporting process"
"261","Task","Server Migration Project review meeting",,"New","Server Migration",,"Server Migration Project review meeting"
"258","Task","Sign off on Project delivery",,"New","Server Migration",,"Sign off on Project delivery"
"257","Feature","01 Plan, Assessment & Designing",,"New","Server Migration",,"01 Plan, Assessment &amp; Designing"
"256","Feature","02 CAF Server Pre-Config & Migration",,"New","Server Migration",,"02 CAF Server Pre-Config &amp; Migration"
"255","Feature","03 CAF Server Migration Govern and Security",,"New","Server Migration",,"03 CAF Server Migration Govern and Security"
"254","Feature","04 CAF Migration Operation and Support",,"New","Server Migration",,"04 CAF Migration Operation and Support"
"253","Feature","05 STAKEHOLDER SIGN OFF AND CLOSURE",,"New","Server Migration",,"05 STAKEHOLDER SIGN OFF AND CLOSURE"
"252","Epic","CAF Server Migration Project Plan",,"New","Server Migration",,"CAF Server Migration Project Plan"
