Work Item Type,ID,Title,Assigned To,State,Area Path,Tags,Comment Count,Description
"Task","353","Governance",,"New","AKS_CloudAdoptionFramework",,"0","Evaluate the best practices around security and governance. Apply as and when appropriate (https://docs.microsoft.com/en-us/azure/aks/concepts-security)"
"Task","352","Application Integration",,"New","AKS_CloudAdoptionFramework",,"0","This task is to ensure the application is containerized and ready to be migrated."
"Task","351","Infrastructure Integration",,"New","AKS_CloudAdoptionFramework",,"0","This task is to ensure the appropriate infrastructure integrations are accounted for."
"Task","350","Deployment",,"New","AKS_CloudAdoptionFramework",,"0","Ensure the appropriate deployment mechanism is adopted. One way to deploy AKS applications is via helm (https://docs.microsoft.com/en-us/azure/aks/quickstart-helm)"
"Task","349","Prerequisite Configuration",,"New","AKS_CloudAdoptionFramework",,"0","Ensure the the prerequisite configurations for the application are accounted for."
"Task","347","Migration Strategy",,"New","AKS_CloudAdoptionFramework",,"0","Define the migration strategy before executing the migration."
"Task","346","Migrate",,"New","AKS_CloudAdoptionFramework",,"0","Execute the migration."
"Task","345","Creating Sandbox",,"New","AKS_CloudAdoptionFramework",,"0","Deploy the application into a sandbox environment."
"Task","344","Best Practices",,"New","AKS_CloudAdoptionFramework",,"0","Assess best practices and see which ones are appropriate to adopt as part of the migration."
"Task","343","AKS Setup Guide",,"New","AKS_CloudAdoptionFramework",,"0","Setup the AKS cluster deployment guide before migration the containerized application."
"Task","341","Other Factors Affecting Deployment",,"New","AKS_CloudAdoptionFramework",,"0","Some special considerations when migration a workload to AKS can be found on the following documentation:
<br>https://docs.microsoft.com/en-us/azure/aks/aks-migration"
"Task","340","Defining and Checking the Prerequisites",,"New","AKS_CloudAdoptionFramework",,"0","This task is to define and check for prerequisites required before migration can begin."
"Task","339","AKS Adoption Plan",,"New","AKS_CloudAdoptionFramework",,"0","This task is define the adoption plan for executing a migration to AKS."
"Task","337","Assessing the Digital Estate",,"New","AKS_CloudAdoptionFramework",,"0","This task is to evaluate the larger IT state as part of the migration. Are there other possible aspects of the IT state that can be moved while executing the migration of the containerized application to AKS."
"Task","336","Outlining & Justifying of Business Outcomes",,"New","AKS_CloudAdoptionFramework",,"0","This task is to outline on the onsite the justification for migrating application to AKS and specifically what business outcomes are to be achieved as part of the migration."
"Task","335","Establishing Strategy",,"New","AKS_CloudAdoptionFramework",,"0","Once the business out come is defined, establish the strategy to execute the migrate the application."
"Feature","334","STAKEHOLDER SIGN OFF AND CLOSURE",,"New","AKS_CloudAdoptionFramework",,"0","STAKEHOLDER SIGN OFF AND CLOSURE"
"Feature","332","CAF Govern Manage And Organize",,"New","AKS_CloudAdoptionFramework",,"0","CAF Govern, &nbsp;Manage &amp; Organize"
"Feature","331","CAF Pre-Configuration And Migration",,"New","AKS_CloudAdoptionFramework",,"0","CAF Pre-Configuration &amp; Migration"
"Feature","330","Plan Assessment And Designing",,"New","AKS_CloudAdoptionFramework",,"0","Plan, Assessment &amp; Designing"
"Epic","329","CAF Project Plan",,"New","AKS_CloudAdoptionFramework",,"0","CAF Project Plan - This is a tasklist to project manage an AKS deployment engagement."
